SkillID,ACHIEVEMENTS:,Description (Achievements serve as a Certificate for NON-HIERARCHICAL Skills and range from Levels 1 to 6),Notes
sing,Singing,Demonstrate your vocal prowess and prove your talent as a singing sensation.,
inst,Instrumental Performance,Showcase your mastery of musical instruments through captivating and expressive performances.,Different Instruments can be noted manually with each Instrument receiving their own Skill entry
danc,Dancing,Exhibit your rhythm and fluid movement to captivate the audience with your dance skills.,
comp,Composition,Craft original musical pieces that highlight your creativity and compositional flair.,
actr,Acting,Display your dramatic talent by immersing yourself in diverse characters and performances.,
pain,Painting,,
poet,Poetry,Express your creative side by composing inspiring verses that resonate emotionally with your audience.,
reli,Religion Knowledge,Immerse yourself in spiritual studies and demonstrate deep insight into diverse religious traditions.,
phia,Philosophical Analysis,Apply critical thinking to explore complex philosophical questions and theoretical frameworks.,
ethr,Ethical Reflection,Reflect on moral dilemmas and showcase your ability to think empathetically and ethically.,
deba,Debate,"Engage in persuasive argumentation and demonstrate your skill in structured, impactful debate.",
lath,Athletics,"Excel in track and field events by showcasing your speed, strength, and endurance in various disciplines.",
team,Team Sports,Prove your ability to work collaboratively and achieve success through coordinated team play.,
gymn,Gymnastics,Demonstrate agility and strength with impressive routines that highlight your physical finesse.,
swim,Swimming,Exhibit your prowess in the water by mastering different strokes with exceptional skill and endurance.,
orth,Orthography,Show your mastery of written language by flawlessly handling complex spelling challenges.,