channelID,videoID0,title,custom_url,channel_id
# Foundations & Multidisciplinary
## General Science / Multidisciplinary
### Broad Science Explainers
1,10000,Vsauce,@Vsauce,UC6nSFpj9HTCZ5t-N3Rm3-HA
12,12013,Kurzgesagt – In a Nutshell,@kurzgesagt,UCsXVk37bltHxD1rDPwtNM8Q
13,13013,Dinge Erklärt – Kurzgesagt,@KurzgesagtDE,UCwRH985XgMYXQ6NxXDo8npw
14,14013,En Pocas Palabras – Kurzgesagt,@kurzgesagt_es,UCZcvCpFcLxOKGbMocVgLjEA
15,15013,Tout Simplement – Kurzgesagt,@kurzgesagt_fr,UCzMHLUJ8xTqDq6xsk0N5IdQ
16,16013,Em Poucas Palavras – Kurzgesagt,@kurzgesagt_br,UCCYb8bp7v9maNk5n3nfw-Lg
17,17013,بكل بساطة – Kurzgesagt,@kurzgesagt_ar,UCn5ASYdp7CzbFH2qtqjIJ9w
18,18013,आसान शब्दों में — Kurzgesagt,@kurzgesagt_hi,UCIR1LQvYrHOWBpOGq5nFo0Q
19,19013,世界をわかりやすく – Kurzgesagt,@kurzgesagt_jp,UCzw2KK537iRgsrYnWaEMs8Q
42,42000,Veritasium,@veritasium,UCHnyfMqiRRG1u-2MsSQLbXA
43,43000,2veritasium,@derek,UC2LZO6swZ9SLUEOks3WnsfA
5300,53000,CGP Grey,@CGPGrey,UC2C_jShtL725hvbm1arSV9w
58,39801,Zogg from Betelgeuse,@ZoggFromBetelgeuse,UCKY00CSQo1MoC27bdGd-w_g
793,793000,Memory Leek DE,@MemoryLeekDE,UCLU6joL-_qmLi4FdxS0pNkg
730,730000,What Da Math,@whatdamath,UCciQ8wFcVoIIMi-lfu8-cjQ
,,Drew's Campfire,@drewscampfire,UCkJo2GTo_77e2Rk5Dnqvp5Q
,,Cleo Abram,@CleoAbram,UC415bOPUcGSamy543abLmRA
,,Siliconversations,@Siliconversations,UCaItA_xyCNvDSf-DLkzClRg

### Multidisciplinary Courses & Surveys
33,33000,CrashCourse,@crashcourse,UCX6b17PVsYBQ0ip5gyeme-Q

### Cross-Topic STEM (Math/Physics/CS)
745,745000,Abide By Reason,@AbideByReason,UCR5oNJW45ALErR_OL5bpi_w
748,748000,Jerboa app,@Jerboa-app,UCP3KhLhmG3Z1CMWyLkn7pbQ

# Formal & Computational Sciences
## Mathematics
### Broad / Recreational Math
31,31000,3Blue1Brown,@3blue1brown,UCYO_jab_esuFRV4b17AJtAw
2718,271828,Numberphile,@numberphile,UCoxcjq-8xIDTYp3uz647V5A
314,314159,Stand-up Maths,@standupmaths,UCSju5G2aFaWMqn-_0YBtq5A
2,20000,Vsauce2,@Vsauce2,UCqmugCqELzhIMNYnsjScXXw
,,DorFuchs,@DorFuchs,UC97dp7op_ZjSCNp3DRLGymQ
,,Prime Logic,@PrimeLogic,UCLEXLDx0V0hdhRblDUXRWCg
,,PolyaMath,@PolyaMathematics,UC2YWpSMLrUNUoPoavgmiIoQ

### University / Advanced Math (analysis, topology, algebra, etc.)
740,740000,Dr. Trefor Bazett,@DrTrefor,UC9rTsvTxJnx1DNrDA3Rqa6A
741,741000,Sheafification Of G,@SheafificationOfG,UC6_J0wZdqcoRVs0Mck922SQ
742,742000,Jason Bramburger,@jasonbramburger,UCdf2-sP9uBkJMi7OJV6SS8w
743,743000,Zunda Theorem (EN),@zunda-theorem-en,UC0QsIj9Ay0tWBT-aedecraw
744,744000,Dan Renshaw (dwrensha),@dwrensha,UChK06HeqIYUM1QpKsR4ke3A
749,749000,Aleph-0,@Aleph0,UCzBjutX2PmitNF4avysL-vg
750,750000,almost sure,@almostsure,UCsH8tLb43SivpDFmtyMeb5g
,,TheGrayCuber,@TheGrayCuber,UCJZt93WO-evfsfi7YlVmrQA
,,DIBEOS,@dibeos,UC3Z1rXCFFadHw69-PZpQRYQ
,,Michael Penn,@MichaelPennMath,UC6jM0RFkr4eSkzT5Gx0HOAw

### Discrete Mathematics / Combinatorics
747,747000,Nemean,@Nemean,UCtJPeNYnAXhB1-_h8xbIX_Q

### Geometry
,,Artem Yashin,@ArtemYashin,UCSW_6zSlR7mn6Gqh-njFWFw

### Applied Mathematics (placeholder)

### Probability & Stochastic Processes (placeholder)

## Statistics / Data Science
### Statistics / Probability
746,746000,Mihai Nica Math,@MihaiNicaMath,UCbszj0H0UGQcTOXcFdpAfYA
751,751000,very normal,@very-normal,UCPb7xe-MQ0KiJpaKBWFZtTA

### Probabilistic Modeling / Simulation
1248,124816,Primer,@PrimerBlobs,UCKzJFdi57J53Vr_BkTfN3uQ

## Computer Science / AI
774,774000,Daedalus Community,@DaedalusCommunity,UCuWLGQB4WRBKvW1C26zA2og

### Machine Learning / Deep Learning
777,777000,Andrej Karpathy,@AndrejKarpathy,UCXUPKJO5MZQN11PqgIvyuvQ
772,772000,Ariseff AI,@ariseffai,UCIxertsVDip8QHpnhinkAow
771,771000,Dr Waku,@DrWaku,UCZf5IX90oe5gdPppMXGImwg

### AI Safety / Alignment
780,780000,Robert Miles (AI Safety),@RobertMilesAI,UCLB7AzTwc6VFZrBsO2ucBMg

### Algorithms / Simulation
,,carykh,@carykh,UC9z7EZAbkphEMg0SP7rw44A
,,Emergent Garden,@EmergentGarden,UCwBhBDsqiQflTMLy2epbQVw

### General CS / Software Engineering
770,770000,Laurie Wired,@lauriewired,UCJXa3_WNNmIpewOtCHf3B0g
776,776000,cacharle,@cacharle,UC_XDaRJhEt_LIE3Mp1FYzsA

### CS & Engineering Education (tutorials)
7,190000,Neso Academy,@nesoacademy,UCQYMhOMi_Cdj1CEAU-fv80A
,,MyOnlineTrainingHub,@MyOnlineTrainingHub,UCiYjpuUaSfkvdZkmtDU7JRw

# Technology & Engineering
## Technology / Engineering
,,Computerphile,@Computerphile,UC9-y-6csu5WGm29I7JiwpnA

### General Engineering / Making / Experimentation
1234,123456,SmarterEveryDay,@smartereveryday,UC6107grRI4m0o2-emgoDnAA
2345,234567,Smarter Every Day 2,@SmarterEveryDay2,UC8VkNBOwvsTlFjoSnNSMmxw
50,50135,Steve Mould,@SteveMould,UCEIwxahdLz7bap-VDs9h35A
,,Concept Crafted Creations,@ConceptCraftedCreations,UCKGkjQogWhWfMDzK50ewqOQ

### Software Development / Graphics / Game Dev
782,782000,simon dev,@simondev758,UCEwhtpXrg5MmwlH04ANpL8A
779,779000,Developer Voices,@DeveloperVoices,UC-0fWjosItIOD4ThhS6oyfA
773,773000,Szymon Ozog,@szymonozog7862,UC5Obl4eU2zVQwuXv91mypeQ
775,775000,Rico Picone,@RicoPicone,UC_TamoS5Wzm6gsWjSJ5LZ6A
778,778000,Navek Engineering,@navekeng,UC3XrWeEDHIHomiDZ1gSV38g
,,optozorax,@optozorax_en,UC7EUiC7Jl-1rzwuepuIz5vw
,,оптозоракс,@optozorax,UCIsVwdLhYrrs3K8MOXEZdhQ
,,JayTheDevGuy,@JayTheDevGuy,UCX2X0mwnKTzdbSHXKD6WILw
781,781000,What's A Creel,@WhatsACreel,UCq7dxy_qYNEBcHqQVCbc20w

### Hardware / Embedded Systems (placeholder)

### Robotics & Control (placeholder)

# Natural Sciences
40076,40076,Atlas Pro,@AtlasPro1,UCz1oFxMrgrQ82-276UCOU9w
713,713000,Henry the PaleoGuy,@HenrythePaleoGuy,UCN1rSOJNzfjzPOsPXRI-hGA

## Physics
### Conceptual & Visual Physics
60137,60137,minutephysics,@MinutePhysics,UCUHW94eEFW7hkUMVaZz4eDg
1618,161803,Physics Girl,@physicsgirl,UC7DdEm33SyaTDtWYGO2CwdA
60,6000,Sixty Symbols,@sixtysymbols,UCvBqzzvUBLCs8Y7Axb-jZew
,,FloatHeadPhysics,@Mahesh_Shenoy,UCGfFUc6eWxfbtjYeun6r9xg
,,Physics Explained,@PhysicsExplainedVideos,UCIZ5ZOeiXYbmKTl_85ghNPw
,,Physics for the Birds,@physicsforthebirds,UCeXksuVW8H1x9v4gh7DWoyQ

### Experimental Physics / Lab Demos (placeholder)

### Relativity & Cosmology (placeholder)

## Astronomy / Space
,,Sciencephile the AI,@SciencephiletheAI,UC7BhHN8NyMMru2RUygnDXSg
,,DeepSkyVideos,@DeepSkyVideos,UCo-3ThNQmPmQSQL_L6Lx1_w

### Astronomy News / Cosmology (placeholder)

### Astrophysics (placeholder)

### Space Engineering / Missions (placeholder)

## Chemistry
### General Chemistry
,,That Chemist,@That_Chemist,UC0nEDA3uRd5YuvBfMwQNteg
,,ChemicalForce,@ChemicalForce,UCqONNjBkukcc2yXbmHL8niQ
,,Periodic Videos,@periodicvideos,UCtESv1e7ntJaLJYKIO1FoYw

### Biochemistry (placeholder)

## Earth Science / Geology / Climate
### Earth Systems / Geography
60365,525600,MinuteEarth,@MinuteEarth,UCeiYXex_fwgYDonaTcSIk6w

### Geology / Tectonics (placeholder)

### Meteorology (placeholder)

### Oceanography (placeholder)

### Climate Science & Debunking
732,732000,potholer54,@potholer54,UCljE1ODdSF7LS9xx9eWq0GQ

## Biology / Evolution
### Evolutionary Biology / Genetics (placeholder)

### Microbiology (placeholder)

### Botany (placeholder)

## Ecology / Zoology
### Animal Biology / Natural History
711,711000,Animalogic,@animalogic,UCwg6_F2hDHYrqbNSGjmar4w
712,712000,My Wild Backyard,@MyWildBackyard,UC5lYMhQxYsgZTjQ4kDyOzOA

### Arachnology
714,714000,Travis McEnery (Arachnology),@travismcenery2919,UCUSUdvFASRi8Xs3gjPXWaKg

### Marine Biology (placeholder)

### Entomology (placeholder)

### Ornithology (placeholder)

### Herpetology (placeholder)

### Ichthyology (placeholder)

## Paleontology
### Paleontology / Deep Time
710,710000,Moth Light Media,@mothlightmedia1936,UCOh5Ht3eB4914hMUfJkKa9g

### Dinosaur Paleontology (placeholder)

### Paleoecology (placeholder)

## Neuroscience
792,792000,Artem Kirsanov (Neuroscience),@ArtemKirsanov,UCR2uRTQ53V_egXKFflMMaaw

## Medicine / Public Health

# Social Sciences & Humanities
## Psychology / Cognitive Science / Learning Science
### Learning How to Learn
733,733000,Benjamin Keep,@benjaminkeep,UChY0i0rm9FSA5_M6pADke1w

### Psychology

## Archaeology
### Archaeology / Ancient Civilizations
,,Miniminuteman,@miniminuteman773,UC-SrCCzkGq0wmSAuRs7EBFg
720,720000,Stefan Milo,@StefanMilo,UCZ9jWH_8tJ-Nmaj8dSQdEYA
721,721000,NORTH 02,@NORTH02,UCmJf6_W7W-Q7rTd5skVEgqA
722,722000,Ancient Americas,@AncientAmericas,UCEqNbbsx0i7fhwRt0saYIcQ

### Bioarchaeology (placeholder)

### Ancient Technology (placeholder)

## History
### General History
723,723000,premodernist history,@premodernist_history,UC2xHMABk_sX2aC14-D7OhIw
,,Objectivity,@ObjectivityVideos,UCtwKon9qMt5YLVgQt1tvJKg

### Ancient History (placeholder)

### Medieval History (placeholder)

### Early Modern History (placeholder)

### Modern History (placeholder)

### Regional History (placeholder)

## Economics

## Sociology / Anthropology

## Mythology / Religious Studies
### Comparative Religion / Mythology
700,700000,Religion for Breakfast,@ReligionForBreakfast,UCct9aR7HC79Cv2g-9oDOTLw
702,702000,Let's Talk Religion,@LetsTalkReligion,UC9dRb4fbJQIbQ3KHJZF_z0g
703,703000,The Esoterica Channel,@TheEsotericaChannel,UCoydhtfFSk1fZXNRnkGnneQ
701,701000,Crecganford,@Crecganford,UChhMB_J0kz8eBJECy4d5uSQ

### Theology (placeholder)

### Esotericism (placeholder)

## Linguistics / Literature
### Linguistics
762,762000,Language Jones,@languagejones,UCVwfqPkv08OTuHzkPU3EaDw
760,760000,Graham Amscheper,@grahamamscheper,UCSd7OM0r5LPkb4Rcp-wlK9g

### Historical Linguistics
761,761000,Jackson Crawford,@JacksonCrawford,UCXCxNFxw6iq-Mh4uIjYvufg

### Literature
,,Bookfox,@Bookfox,UCWp90fsJtx4BScXsxRoCMoA

## Philosophy / Ethics
,,Explains A Lot,@ExplainsALott,UCV1JOfvbeyKaHGiVqdwg4dA
,,Jamie Social,@JamieSocial,UC7IZjtoKFmgE4f2UnWBUjaA

### Academic Philosophy
790,790000,Prof. Jeffrey Kaplan,@profjeffreykaplan,UC_hukbByJP7OZ3Xm2tszacQ

### Ethics / Applied Ethics
,,Unsolicited advice,@unsolicitedadvice9198,UCW71hQg1kDxmFIfijA8dL0Q

### Logic (placeholder)

## Political Science / Law
### Political Theory (placeholder)

### Law (Constitutional / Criminal / Civil) (placeholder)

# Arts
## Music Theory / Music Technology
,,Cadence Hira,@CadenceHira,UCR1ATYyCJML6dxqgQhwIKZg

### Composition / Analysis / Advanced Theory
791,791000,Samuel Andreyev,@samuel_andreyev,UCI_dcH8Zr2UqNT1EqvMNgTg

### Audio Engineering / Music Technology
731,731000,Benn Jordan,@BennJordan,UCshObcm-nLhbu8MY50EZ5Ng

### Music Production (placeholder)

### Ethnomusicology (placeholder)

# Other
## Other
### Miscellaneous (placeholder)
