playlist_id,language_code,title,description
FLHnyfMqiRRG1u-2MsSQLbXA,af,Gunstelinge,
FLHnyfMqiRRG1u-2MsSQLbXA,am,ተወዳጆች,
FLHnyfMqiRRG1u-2MsSQLbXA,ar,المفضلة,
FLHnyfMqiRRG1u-2MsSQLbXA,bg,Любими,
FLHnyfMqiRRG1u-2MsSQLbXA,bn,পছন্দগুলি,
FLHnyfMqiRRG1u-2MsSQLbXA,ca,Preferits,
FLHnyfMqiRRG1u-2MsSQLbXA,cs,Oblíbené,
FLHnyfMqiRRG1u-2MsSQLbXA,da,Foretrukne,
FLHnyfMqiRRG1u-2MsSQLbXA,de,Favoriten,
FLHnyfMqiRRG1u-2MsSQLbXA,el,Αγαπημένα,
FLHnyfMqiRRG1u-2MsSQLbXA,en,Favorites,
FLHnyfMqiRRG1u-2MsSQLbXA,en-GB,Favourites,
FLHnyfMqiRRG1u-2MsSQLbXA,en-XA,[Fåvöŕîţéš one],
FLHnyfMqiRRG1u-2MsSQLbXA,es,Favoritos,
FLHnyfMqiRRG1u-2MsSQLbXA,es-419,Favoritos,
FLHnyfMqiRRG1u-2MsSQLbXA,et,Lemmikud,
FLHnyfMqiRRG1u-2MsSQLbXA,eu,Gogokoak,
FLHnyfMqiRRG1u-2MsSQLbXA,fa,موارد دلخواه,
FLHnyfMqiRRG1u-2MsSQLbXA,fi,Suosikit,
FLHnyfMqiRRG1u-2MsSQLbXA,fil,Mga Paborito,
FLHnyfMqiRRG1u-2MsSQLbXA,fr,Favoris,
FLHnyfMqiRRG1u-2MsSQLbXA,fr-CA,Favoris,
FLHnyfMqiRRG1u-2MsSQLbXA,gl,Favoritos,
FLHnyfMqiRRG1u-2MsSQLbXA,gu,મનપસંદ,
FLHnyfMqiRRG1u-2MsSQLbXA,hi,पसंदीदा,
FLHnyfMqiRRG1u-2MsSQLbXA,hr,Favoriti,
FLHnyfMqiRRG1u-2MsSQLbXA,hu,Kedvencek,
FLHnyfMqiRRG1u-2MsSQLbXA,id,Favorit,
FLHnyfMqiRRG1u-2MsSQLbXA,is,Eftirlæti,
FLHnyfMqiRRG1u-2MsSQLbXA,it,Preferiti,
FLHnyfMqiRRG1u-2MsSQLbXA,iw,מועדפים,
FLHnyfMqiRRG1u-2MsSQLbXA,ja,お気に入り,
FLHnyfMqiRRG1u-2MsSQLbXA,kn,ಮೆಚ್ಚಿನವುಗಳು,
FLHnyfMqiRRG1u-2MsSQLbXA,ko,즐겨찾기,
FLHnyfMqiRRG1u-2MsSQLbXA,lt,Mėgstamiausi,
FLHnyfMqiRRG1u-2MsSQLbXA,lv,Izlase,
FLHnyfMqiRRG1u-2MsSQLbXA,ml,പ്രിയപ്പെട്ടവ,
FLHnyfMqiRRG1u-2MsSQLbXA,mr,आवडी,
FLHnyfMqiRRG1u-2MsSQLbXA,ms,Kegemaran,
FLHnyfMqiRRG1u-2MsSQLbXA,nl,Favorieten,
FLHnyfMqiRRG1u-2MsSQLbXA,no,Favoritter,
FLHnyfMqiRRG1u-2MsSQLbXA,pl,Ulubione,
FLHnyfMqiRRG1u-2MsSQLbXA,pt,Favoritos,
FLHnyfMqiRRG1u-2MsSQLbXA,pt-PT,Favoritos,
FLHnyfMqiRRG1u-2MsSQLbXA,ro,Preferate,
FLHnyfMqiRRG1u-2MsSQLbXA,ru,Избранное,
FLHnyfMqiRRG1u-2MsSQLbXA,sk,Obľúbené,
FLHnyfMqiRRG1u-2MsSQLbXA,sl,Priljubljene,
FLHnyfMqiRRG1u-2MsSQLbXA,sr,Омиљено,
FLHnyfMqiRRG1u-2MsSQLbXA,sv,Favoriter,
FLHnyfMqiRRG1u-2MsSQLbXA,sw,Vipendwa,
FLHnyfMqiRRG1u-2MsSQLbXA,ta,பிடித்தவை,
FLHnyfMqiRRG1u-2MsSQLbXA,te,ఇష్టమైనవి,
FLHnyfMqiRRG1u-2MsSQLbXA,th,รายการโปรด,
FLHnyfMqiRRG1u-2MsSQLbXA,tr,Favoriler,
FLHnyfMqiRRG1u-2MsSQLbXA,uk,Вибране,
FLHnyfMqiRRG1u-2MsSQLbXA,ur,پسندیدہ,
FLHnyfMqiRRG1u-2MsSQLbXA,vi,Video yêu thích,
FLHnyfMqiRRG1u-2MsSQLbXA,zh-CN,收藏的视频,
FLHnyfMqiRRG1u-2MsSQLbXA,zh-HK,收藏,
FLHnyfMqiRRG1u-2MsSQLbXA,zh-TW,收藏的影片,
FLHnyfMqiRRG1u-2MsSQLbXA,zu,Izintandokazi,
PLVvnOdsCze6F40yW7JOroETZQHLRrABTr,en,Discovering Quantum Mechanics,This is a playlist covering the original discoveries of Quantum Mechanics by Schrödinger and Heisenberg
FLoxcjq-8xIDTYp3uz647V5A,af,Gunstelinge,
FLoxcjq-8xIDTYp3uz647V5A,am,ተወዳጆች,
FLoxcjq-8xIDTYp3uz647V5A,ar,المفضلة,
FLoxcjq-8xIDTYp3uz647V5A,bg,Любими,
FLoxcjq-8xIDTYp3uz647V5A,bn,পছন্দগুলি,
FLoxcjq-8xIDTYp3uz647V5A,ca,Preferits,
FLoxcjq-8xIDTYp3uz647V5A,cs,Oblíbené,
FLoxcjq-8xIDTYp3uz647V5A,da,Foretrukne,
FLoxcjq-8xIDTYp3uz647V5A,de,Favoriten,
FLoxcjq-8xIDTYp3uz647V5A,el,Αγαπημένα,
FLoxcjq-8xIDTYp3uz647V5A,en,Favorites,
FLoxcjq-8xIDTYp3uz647V5A,en-GB,Favourites,
FLoxcjq-8xIDTYp3uz647V5A,en-XA,[Fåvöŕîţéš one],
FLoxcjq-8xIDTYp3uz647V5A,es,Favoritos,
FLoxcjq-8xIDTYp3uz647V5A,es-419,Favoritos,
FLoxcjq-8xIDTYp3uz647V5A,et,Lemmikud,
FLoxcjq-8xIDTYp3uz647V5A,eu,Gogokoak,
FLoxcjq-8xIDTYp3uz647V5A,fa,موارد دلخواه,
FLoxcjq-8xIDTYp3uz647V5A,fi,Suosikit,
FLoxcjq-8xIDTYp3uz647V5A,fil,Mga Paborito,
FLoxcjq-8xIDTYp3uz647V5A,fr,Favoris,
FLoxcjq-8xIDTYp3uz647V5A,fr-CA,Favoris,
FLoxcjq-8xIDTYp3uz647V5A,gl,Favoritos,
FLoxcjq-8xIDTYp3uz647V5A,gu,મનપસંદ,
FLoxcjq-8xIDTYp3uz647V5A,hi,पसंदीदा,
FLoxcjq-8xIDTYp3uz647V5A,hr,Favoriti,
FLoxcjq-8xIDTYp3uz647V5A,hu,Kedvencek,
FLoxcjq-8xIDTYp3uz647V5A,id,Favorit,
FLoxcjq-8xIDTYp3uz647V5A,is,Eftirlæti,
FLoxcjq-8xIDTYp3uz647V5A,it,Preferiti,
FLoxcjq-8xIDTYp3uz647V5A,iw,מועדפים,
FLoxcjq-8xIDTYp3uz647V5A,ja,お気に入り,
FLoxcjq-8xIDTYp3uz647V5A,kn,ಮೆಚ್ಚಿನವುಗಳು,
FLoxcjq-8xIDTYp3uz647V5A,ko,즐겨찾기,
FLoxcjq-8xIDTYp3uz647V5A,lt,Mėgstamiausi,
FLoxcjq-8xIDTYp3uz647V5A,lv,Izlase,
FLoxcjq-8xIDTYp3uz647V5A,ml,പ്രിയപ്പെട്ടവ,
FLoxcjq-8xIDTYp3uz647V5A,mr,आवडी,
FLoxcjq-8xIDTYp3uz647V5A,ms,Kegemaran,
FLoxcjq-8xIDTYp3uz647V5A,nl,Favorieten,
FLoxcjq-8xIDTYp3uz647V5A,no,Favoritter,
FLoxcjq-8xIDTYp3uz647V5A,pl,Ulubione,
FLoxcjq-8xIDTYp3uz647V5A,pt,Favoritos,
FLoxcjq-8xIDTYp3uz647V5A,pt-PT,Favoritos,
FLoxcjq-8xIDTYp3uz647V5A,ro,Preferate,
FLoxcjq-8xIDTYp3uz647V5A,ru,Избранное,
FLoxcjq-8xIDTYp3uz647V5A,sk,Obľúbené,
FLoxcjq-8xIDTYp3uz647V5A,sl,Priljubljene,
FLoxcjq-8xIDTYp3uz647V5A,sr,Омиљено,
FLoxcjq-8xIDTYp3uz647V5A,sv,Favoriter,
FLoxcjq-8xIDTYp3uz647V5A,sw,Vipendwa,
FLoxcjq-8xIDTYp3uz647V5A,ta,பிடித்தவை,
FLoxcjq-8xIDTYp3uz647V5A,te,ఇష్టమైనవి,
FLoxcjq-8xIDTYp3uz647V5A,th,รายการโปรด,
FLoxcjq-8xIDTYp3uz647V5A,tr,Favoriler,
FLoxcjq-8xIDTYp3uz647V5A,uk,Вибране,
FLoxcjq-8xIDTYp3uz647V5A,ur,پسندیدہ,
FLoxcjq-8xIDTYp3uz647V5A,vi,Video yêu thích,
FLoxcjq-8xIDTYp3uz647V5A,zh-CN,收藏的视频,
FLoxcjq-8xIDTYp3uz647V5A,zh-HK,收藏,
FLoxcjq-8xIDTYp3uz647V5A,zh-TW,收藏的影片,
FLoxcjq-8xIDTYp3uz647V5A,zu,Izintandokazi,
PL542920k_cOru5wj_iHksZA4scQAjdhwI,de,Adventskalender der ungelösten mathematischen Probleme,"24 ungelöste mathematische Probleme, jeweils in einem Short vorgestellt und im Dezember 2025 veröffentlicht"
FL9-y-6csu5WGm29I7JiwpnA,af,Gunstelinge,
FL9-y-6csu5WGm29I7JiwpnA,am,ተወዳጆች,
FL9-y-6csu5WGm29I7JiwpnA,ar,المفضلة,
FL9-y-6csu5WGm29I7JiwpnA,bg,Любими,
FL9-y-6csu5WGm29I7JiwpnA,bn,পছন্দগুলি,
FL9-y-6csu5WGm29I7JiwpnA,ca,Preferits,
FL9-y-6csu5WGm29I7JiwpnA,cs,Oblíbené,
FL9-y-6csu5WGm29I7JiwpnA,da,Foretrukne,
FL9-y-6csu5WGm29I7JiwpnA,de,Favoriten,
FL9-y-6csu5WGm29I7JiwpnA,el,Αγαπημένα,
FL9-y-6csu5WGm29I7JiwpnA,en,Favorites,
FL9-y-6csu5WGm29I7JiwpnA,en-GB,Favourites,
FL9-y-6csu5WGm29I7JiwpnA,en-XA,[Fåvöŕîţéš one],
FL9-y-6csu5WGm29I7JiwpnA,es,Favoritos,
FL9-y-6csu5WGm29I7JiwpnA,es-419,Favoritos,
FL9-y-6csu5WGm29I7JiwpnA,et,Lemmikud,
FL9-y-6csu5WGm29I7JiwpnA,eu,Gogokoak,
FL9-y-6csu5WGm29I7JiwpnA,fa,موارد دلخواه,
FL9-y-6csu5WGm29I7JiwpnA,fi,Suosikit,
FL9-y-6csu5WGm29I7JiwpnA,fil,Mga Paborito,
FL9-y-6csu5WGm29I7JiwpnA,fr,Favoris,
FL9-y-6csu5WGm29I7JiwpnA,fr-CA,Favoris,
FL9-y-6csu5WGm29I7JiwpnA,gl,Favoritos,
FL9-y-6csu5WGm29I7JiwpnA,gu,મનપસંદ,
FL9-y-6csu5WGm29I7JiwpnA,hi,पसंदीदा,
FL9-y-6csu5WGm29I7JiwpnA,hr,Favoriti,
FL9-y-6csu5WGm29I7JiwpnA,hu,Kedvencek,
FL9-y-6csu5WGm29I7JiwpnA,id,Favorit,
FL9-y-6csu5WGm29I7JiwpnA,is,Eftirlæti,
FL9-y-6csu5WGm29I7JiwpnA,it,Preferiti,
FL9-y-6csu5WGm29I7JiwpnA,iw,מועדפים,
FL9-y-6csu5WGm29I7JiwpnA,ja,お気に入り,
FL9-y-6csu5WGm29I7JiwpnA,kn,ಮೆಚ್ಚಿನವುಗಳು,
FL9-y-6csu5WGm29I7JiwpnA,ko,즐겨찾기,
FL9-y-6csu5WGm29I7JiwpnA,lt,Mėgstamiausi,
FL9-y-6csu5WGm29I7JiwpnA,lv,Izlase,
FL9-y-6csu5WGm29I7JiwpnA,ml,പ്രിയപ്പെട്ടവ,
FL9-y-6csu5WGm29I7JiwpnA,mr,आवडी,
FL9-y-6csu5WGm29I7JiwpnA,ms,Kegemaran,
FL9-y-6csu5WGm29I7JiwpnA,nl,Favorieten,
FL9-y-6csu5WGm29I7JiwpnA,no,Favoritter,
FL9-y-6csu5WGm29I7JiwpnA,pl,Ulubione,
FL9-y-6csu5WGm29I7JiwpnA,pt,Favoritos,
FL9-y-6csu5WGm29I7JiwpnA,pt-PT,Favoritos,
FL9-y-6csu5WGm29I7JiwpnA,ro,Preferate,
FL9-y-6csu5WGm29I7JiwpnA,ru,Избранное,
FL9-y-6csu5WGm29I7JiwpnA,sk,Obľúbené,
FL9-y-6csu5WGm29I7JiwpnA,sl,Priljubljene,
FL9-y-6csu5WGm29I7JiwpnA,sr,Омиљено,
FL9-y-6csu5WGm29I7JiwpnA,sv,Favoriter,
FL9-y-6csu5WGm29I7JiwpnA,sw,Vipendwa,
FL9-y-6csu5WGm29I7JiwpnA,ta,பிடித்தவை,
FL9-y-6csu5WGm29I7JiwpnA,te,ఇష్టమైనవి,
FL9-y-6csu5WGm29I7JiwpnA,th,รายการโปรด,
FL9-y-6csu5WGm29I7JiwpnA,tr,Favoriler,
FL9-y-6csu5WGm29I7JiwpnA,uk,Вибране,
FL9-y-6csu5WGm29I7JiwpnA,ur,پسندیدہ,
FL9-y-6csu5WGm29I7JiwpnA,vi,Video yêu thích,
FL9-y-6csu5WGm29I7JiwpnA,zh-CN,收藏的视频,
FL9-y-6csu5WGm29I7JiwpnA,zh-HK,收藏,
FL9-y-6csu5WGm29I7JiwpnA,zh-TW,收藏的影片,
FL9-y-6csu5WGm29I7JiwpnA,zu,Izintandokazi,
FL8VkNBOwvsTlFjoSnNSMmxw,af,Gunstelinge,
FL8VkNBOwvsTlFjoSnNSMmxw,am,ተወዳጆች,
FL8VkNBOwvsTlFjoSnNSMmxw,ar,المفضلة,
FL8VkNBOwvsTlFjoSnNSMmxw,bg,Любими,
FL8VkNBOwvsTlFjoSnNSMmxw,bn,পছন্দগুলি,
FL8VkNBOwvsTlFjoSnNSMmxw,ca,Preferits,
FL8VkNBOwvsTlFjoSnNSMmxw,cs,Oblíbené,
FL8VkNBOwvsTlFjoSnNSMmxw,da,Foretrukne,
FL8VkNBOwvsTlFjoSnNSMmxw,de,Favoriten,
FL8VkNBOwvsTlFjoSnNSMmxw,el,Αγαπημένα,
FL8VkNBOwvsTlFjoSnNSMmxw,en,Favorites,
FL8VkNBOwvsTlFjoSnNSMmxw,en-GB,Favourites,
FL8VkNBOwvsTlFjoSnNSMmxw,en-XA,[Fåvöŕîţéš one],
FL8VkNBOwvsTlFjoSnNSMmxw,es,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,es-419,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,et,Lemmikud,
FL8VkNBOwvsTlFjoSnNSMmxw,eu,Gogokoak,
FL8VkNBOwvsTlFjoSnNSMmxw,fa,موارد دلخواه,
FL8VkNBOwvsTlFjoSnNSMmxw,fi,Suosikit,
FL8VkNBOwvsTlFjoSnNSMmxw,fil,Mga Paborito,
FL8VkNBOwvsTlFjoSnNSMmxw,fr,Favoris,
FL8VkNBOwvsTlFjoSnNSMmxw,fr-CA,Favoris,
FL8VkNBOwvsTlFjoSnNSMmxw,gl,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,gu,મનપસંદ,
FL8VkNBOwvsTlFjoSnNSMmxw,hi,पसंदीदा,
FL8VkNBOwvsTlFjoSnNSMmxw,hr,Favoriti,
FL8VkNBOwvsTlFjoSnNSMmxw,hu,Kedvencek,
FL8VkNBOwvsTlFjoSnNSMmxw,id,Favorit,
FL8VkNBOwvsTlFjoSnNSMmxw,is,Eftirlæti,
FL8VkNBOwvsTlFjoSnNSMmxw,it,Preferiti,
FL8VkNBOwvsTlFjoSnNSMmxw,iw,מועדפים,
FL8VkNBOwvsTlFjoSnNSMmxw,ja,お気に入り,
FL8VkNBOwvsTlFjoSnNSMmxw,kn,ಮೆಚ್ಚಿನವುಗಳು,
FL8VkNBOwvsTlFjoSnNSMmxw,ko,즐겨찾기,
FL8VkNBOwvsTlFjoSnNSMmxw,lt,Mėgstamiausi,
FL8VkNBOwvsTlFjoSnNSMmxw,lv,Izlase,
FL8VkNBOwvsTlFjoSnNSMmxw,ml,പ്രിയപ്പെട്ടവ,
FL8VkNBOwvsTlFjoSnNSMmxw,mr,आवडी,
FL8VkNBOwvsTlFjoSnNSMmxw,ms,Kegemaran,
FL8VkNBOwvsTlFjoSnNSMmxw,nl,Favorieten,
FL8VkNBOwvsTlFjoSnNSMmxw,no,Favoritter,
FL8VkNBOwvsTlFjoSnNSMmxw,pl,Ulubione,
FL8VkNBOwvsTlFjoSnNSMmxw,pt,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,pt-PT,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,ro,Preferate,
FL8VkNBOwvsTlFjoSnNSMmxw,ru,Избранное,
FL8VkNBOwvsTlFjoSnNSMmxw,sk,Obľúbené,
FL8VkNBOwvsTlFjoSnNSMmxw,sl,Priljubljene,
FL8VkNBOwvsTlFjoSnNSMmxw,sr,Омиљено,
FL8VkNBOwvsTlFjoSnNSMmxw,sv,Favoriter,
FL8VkNBOwvsTlFjoSnNSMmxw,sw,Vipendwa,
FL8VkNBOwvsTlFjoSnNSMmxw,ta,பிடித்தவை,
FL8VkNBOwvsTlFjoSnNSMmxw,te,ఇష్టమైనవి,
FL8VkNBOwvsTlFjoSnNSMmxw,th,รายการโปรด,
FL8VkNBOwvsTlFjoSnNSMmxw,tr,Favoriler,
FL8VkNBOwvsTlFjoSnNSMmxw,uk,Вибране,
FL8VkNBOwvsTlFjoSnNSMmxw,ur,پسندیدہ,
FL8VkNBOwvsTlFjoSnNSMmxw,vi,Video yêu thích,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-CN,收藏的视频,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-HK,收藏,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-TW,收藏的影片,
FL8VkNBOwvsTlFjoSnNSMmxw,zu,Izintandokazi,
FL_TamoS5Wzm6gsWjSJ5LZ6A,af,Gunstelinge,
FL_TamoS5Wzm6gsWjSJ5LZ6A,am,ተወዳጆች,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ar,المفضلة,
FL_TamoS5Wzm6gsWjSJ5LZ6A,bg,Любими,
FL_TamoS5Wzm6gsWjSJ5LZ6A,bn,পছন্দগুলি,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ca,Preferits,
FL_TamoS5Wzm6gsWjSJ5LZ6A,cs,Oblíbené,
FL_TamoS5Wzm6gsWjSJ5LZ6A,da,Foretrukne,
FL_TamoS5Wzm6gsWjSJ5LZ6A,de,Favoriten,
FL_TamoS5Wzm6gsWjSJ5LZ6A,el,Αγαπημένα,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en,Favorites,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en-GB,Favourites,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en-XA,[Fåvöŕîţéš one],
FL_TamoS5Wzm6gsWjSJ5LZ6A,es,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,es-419,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,et,Lemmikud,
FL_TamoS5Wzm6gsWjSJ5LZ6A,eu,Gogokoak,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fa,موارد دلخواه,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fi,Suosikit,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fil,Mga Paborito,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fr,Favoris,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fr-CA,Favoris,
FL_TamoS5Wzm6gsWjSJ5LZ6A,gl,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,gu,મનપસંદ,
FL_TamoS5Wzm6gsWjSJ5LZ6A,hi,पसंदीदा,
